Location,loc1,loc2,loc3,latitudes,longitudes
"Sadar, Noakhali",Sadar,Noakhali,,22.5313205,91.1775744276286
"Shahzadpur,Sirajganj",Shahzadpur,Sirajganj,,24.4566253,89.7081281
"Jantapur, Sylhet",Jantapur,Sylhet,,24.59107805,91.71773617004385
"Hatikumrul-Bonpara, Tarash",Hatikumrul-Bonpara,Tarash,,24.4331557,89.3753368
"Bheram mistipukur, Dhamoirhat",Bheram mistipukur,Dhamoirhat,,25.1559873,88.832894
"Dhopaghat, Gafargaon",Dhopaghat,Gafargaon,,24.452671700000003,90.48253343902904
Borhanuddin,Borhanuddin,,,22.48633645,90.72868934072119
"Jaintapur,Sylhet",Jaintapur,Sylhet,,25.1361745,92.1265808
"Gulshan, Jatrabari",Gulshan,Jatrabari,,23.6975538,90.4262208
"Lalmonirhat,kaliganj",Lalmonirhat,kaliganj,,25.9542136,89.2413872
"Sonargaon, Narayanganj",Sonargaon,Narayanganj,,23.6508699,90.60417555325738
"Mithapukur, Rangpur",Mithapukur,Rangpur,,25.57244245,89.271619425
"Thakurgaon,Sadar",Thakurgaon,Sadar,,26.029645799999997,88.47628384671889
"Gouripur, Mymensingh",Gouripur,Mymensingh,,24.7600679,90.5703878
Gopalganj,Gopalganj,,,23.0059418,89.8263479
"Gopalganj,Sadar",Gopalganj,Sadar,,24.4111297,88.9973561
"Gazaria, Munshiganj",Gazaria,Munshiganj,,23.5576927,90.6523837
"Nodigram, Bogura",Nodigram,Bogura,,24.8500662,89.3728431
"Dighi, Dhaka-Aricha highway",Dighi,Dhaka-Aricha highway,,23.9129874,90.177867
"Mahindra, Nagarkanda",Mahindra,Nagarkanda,,23.2956801,89.6849805
"Shahjadpur,Sirajganj",Shahjadpur,Sirajganj,,24.4566253,89.7081281
"Gabindaganj,Gaibandha",Gabindaganj,Gaibandha,,25.0860006,89.8696436
Magura,Magura,,,23.488333,89.42
"Salehpur,Savar,Dhaka",Salehpur,Savar,Dhaka,23.7891924,90.32370707264832
"Bagerhat,Fakirhat Upazilla",Bagerhat,Fakirhat Upazilla,,24.4768783,90.2932426
"Bogura, Shahjahanpur",Bogura,Shahjahanpur,,23.741854,90.423095
"Mohammadpur, Magura",Mohammadpur,Magura,,23.4400298,89.5102173
"Panchagarh,Tetulia",Panchagarh,Tetulia,,26.5152762,88.3550375
"Dhamrai, Dhaka",Dhamrai,Dhaka,,23.920162,90.2108702
"Pirbari,Sadar, Brahmanbaria",Pirbari,Sadar,Brahmanbaria,24.0755411,91.1123798
"Cumilla, Munshiganj",Cumilla,Munshiganj,,23.5483797,90.5349722
"Sirajdikan, Munshiganj",Sirajdikan,Munshiganj,,23.5483797,90.5349722
"Tetulia,Panchagarh",Tetulia,Panchagarh,,26.52133965,88.42037208062746
"Sadar, Barguna",Sadar,Barguna,,22.11002595,90.09052429806786
"Sadar, Pabna",Sadar,Pabna,,24.005,89.25
"Chatogram-Kaptai, Goschi nayahat",Chatogram-Kaptai,Goschi nayahat,,24.4768783,90.2932426
Sylhet,Sylhet,,,24.59107805,91.71773617004385
"Haluaghar,Mymensingh",Haluaghar,Mymensingh,,24.8386014,90.41126950462677
"Lohagara Upazila, Chittagong",Lohagara Upazila,Chittagong,,22.3364709,91.8260479
Rajshahi,Rajshahi,,,24.4611511,88.6888703
"Muksudpur, Gopalganj",Muksudpur,Gopalganj,,23.3146905,89.8696769
"Sadar, Manikganj",Sadar,Manikganj,,23.8200816,90.02305769029931
"Gafargaon,Mymensingh",Gafargaon,Mymensingh,,24.4550778,90.5498526
"Fatikcchari, Chittagong",Fatikcchari,Chittagong,,22.3364709,91.8260479
"Kotalipara,Gopalganj",Kotalipara,Gopalganj,,22.9872531,90.0049273
"Savar, Dhaka",Savar,Dhaka,,23.8477,90.2587
"Madhukhali, Bhanga, Faridpur",Madhukhali,Bhanga,Faridpur,23.389150299999997,89.98507144738963
"Satkania, Chattogram",Satkania,Chattogram,,22.074247,92.0576236
"Paba,Rajshahi",Paba,Rajshahi,,24.458300350000002,88.6125766424444
"Shahjadpur, Sirajganj",Shahjadpur,Sirajganj,,24.4566253,89.7081281
"Barguna,Amtali",Barguna,Amtali,,22.158905,90.1181456
"Maijdee, Noakhali",Maijdee,Noakhali,,22.8220772,91.1170328
"Bhandaria, pirojpur",Bhandaria,pirojpur,,22.487683,90.0643776
"Mirsharai, Chattogram",Mirsharai,Chattogram,,22.77839925,91.57176026249624
"Abhaynagar, Jashore",Abhaynagar,Jashore,,23.1665971,89.2095143
"Rousonbagh, Panchagarh-Jalashi highway",Rousonbagh,Panchagarh-Jalashi highway,,24.4768783,90.2932426
"Hili,Dinajpur",Hili,Dinajpur,,25.277513,89.0069924
"Nalitabari, Sherpur",Nalitabari,Sherpur,,25.0299902,90.04747
Panchagarh,Panchagarh,,,26.32215705,88.5477309406956
"Kolatoli, Cox's bazar",Kolatoli,Cox's bazar,,21.4234829,91.9815922
"Nabinagar, Brahmanbaria",Nabinagar,Brahmanbaria,,23.8846959,90.9699944
"Kurigram, Bhurungamari",Kurigram,Bhurungamari,,26.111836099999998,89.6688207
"Nagarkanda, Faridpur",Nagarkanda,Faridpur,,23.2956801,89.6849805
"Taltola, Satkhira",Taltola,Satkhira,,22.7166509,89.0749857
"Bagatipara, Natore",Bagatipara,Natore,,24.3694334,88.9521547
"Sadar, Sirajganj",Sadar,Sirajganj,,22.6841244,90.36580796871468
"Kamarkhanda, Sirajganj",Kamarkhanda,Sirajganj,,24.4566253,89.7081281
"Ramgar, Khagrachhari",Ramgar,Khagrachhari,,23.1077999,91.9889955
"Munshiganj, Dhaka-Mawa expressway",Munshiganj,Dhaka-Mawa expressway,,23.473835,90.2755058
Dhaka,Dhaka,,,23.810651,90.4126466
Manikganj,Manikganj,,,23.871163,89.9987833
"Baroawlia, Rangpur",Baroawlia,Rangpur,,25.833558,88.9939966
"Muksudpur, Gopalganj",Muksudpur,Gopalganj,,23.3146905,89.8696769
"Kalkini,Madaripur",Kalkini,Madaripur,,23.0781315,90.2217374
"Kalkini,Madaripur",Kalkini,Madaripur,,23.0781315,90.2217374
"Jaintapur, Sylhet",Jaintapur,Sylhet,,25.1361745,92.1265808
"Daulatpur, Kushtia",Daulatpur,Kushtia,,23.96056095,88.76811894972087
"Jhenaidah, Kaliganj",Jhenaidah,Kaliganj,,23.4079255,89.1359615
"Gabtali, Bogura",Gabtali,Bogura,,24.8770229,89.4512705
Sirajganj,Sirajganj,,,24.4566253,89.7081281
"Joypurhat,Panchbibi",Joypurhat,Panchbibi,,25.1792652,89.0193195
"Kotalipara,Gopalganj",Kotalipara,Gopalganj,,22.9872531,90.0049273
Sirajganj,Sirajganj,,,24.4566253,89.7081281
"Baklia, Chattogram",Baklia,Chattogram,,22.3364709,91.8260479
"Shahjahanpur,Bogura",Shahjahanpur,Bogura,,24.8500662,89.3728431
"Kashiadanga, Rajshahi",Kashiadanga,Rajshahi,,24.4611511,88.6888703
Amtali,Amtali,,,22.132863,90.2311484
"Gomostapur, Chapainawabganj",Gomostapur,Chapainawabganj,,24.5954428,88.2704609
"Sadar, Bogura",Sadar,Bogura,,24.850206,89.37265372505973
"Chandratala,Kendua,Netrakona",Chandratala,Kendua,Netrakona,24.898175199999997,90.73988532556226
"Sherpur, Kurigram",Sherpur,Kurigram,,25.8121378,89.6441289
"Sadar, Gopalganj",Sadar,Gopalganj,,23.0059418,89.8263479
"Gopal Sutradhar,Nadda",Gopal Sutradhar,Nadda,,23.8572149,90.4262692
"Biral, Dinajpur",Biral,Dinajpur,,25.6260712,88.6346228
"Dinajpur,Munshiganj",Dinajpur,Munshiganj,,23.5483797,90.5349722
"Hakimpur, Dinajpur",Hakimpur,Dinajpur,,25.2857531,89.0141357
"Sadar, Manikganj",Sadar,Manikganj,,23.8200816,90.02305769029931
"Ghior, Manikganj",Ghior,Manikganj,,23.8995885,89.8719708
"Dighinala, Khagrachaari",Dighinala,Khagrachaari,,24.4768783,90.2932426
"Sadar, Pabna",Sadar,Pabna,,24.005,89.25
"Phulbari, Dinajpur",Phulbari,Dinajpur,,25.3851042,88.8563722
"Sadar, Gopalganj",Sadar,Gopalganj,,23.0059418,89.8263479
"Madhupur,Bogura",Madhupur,Bogura,,24.8500662,89.3728431
"Sadar,Barguna",Sadar,Barguna,,22.11002595,90.09052429806786
"Sajek, Rangamati",Sajek,Rangamati,,23.4285376,92.2418375
Barishal,Barishal,,,22.7562851,90.41098391553726
"Sherpur, Bogura",Sherpur,Bogura,,24.8323544,89.3761328
"Shibaloy, Manikganj",Shibaloy,Manikganj,,23.824261800000002,89.85170351469785
"Subidbazar, Sylhet",Subidbazar,Sylhet,,24.59107805,91.71773617004385
"Ukhia, Cox's Bazar",Ukhia,Cox's Bazar,,21.2443749,92.1388605
"Notunhat, Jashore-benapole highway",Notunhat,Jashore-benapole highway,,23.10141535,89.10089924909585
"Abhaynagar, Jashore",Abhaynagar,Jashore,,23.1665971,89.2095143
"Godagari, Rajshahi",Godagari,Rajshahi,,24.4581726,88.3285448
"Gafargaon, Mymensingh",Gafargaon,Mymensingh,,24.4550778,90.5498526
